Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.03,3.03,2.925,2.98,0.595425,350000.0
1996-01-02,2.98,3.025,2.95,2.975,0.594426,412000.0
1996-01-03,2.975,2.995,2.95,2.985,0.596424,284000.0
1996-01-04,2.985,2.98,2.94,2.965,0.592428,282000.0
1996-01-05,2.965,2.98,2.95,2.96,0.591429,189000.0
1996-01-08,2.96,2.95,2.91,2.925,0.584436,237000.0
1996-01-09,2.925,2.925,2.8,2.83,0.565454,483000.0
1996-01-10,2.83,2.865,2.81,2.84,0.5674520000000001,226000.0
1996-01-11,2.84,2.88,2.8,2.83,0.565454,318000.0
1996-01-12,2.83,2.835,2.8,2.825,0.564455,431000.0
1996-01-15,2.825,2.815,2.775,2.79,0.557462,181000.0
1996-01-16,2.79,2.8,2.74,2.74,0.547471,358000.0
1996-01-17,2.74,2.795,2.63,2.655,0.530488,429000.0
1996-01-18,2.655,2.655,2.6,2.64,0.5274909999999999,330000.0
1996-01-19,2.64,2.63,2.535,2.555,0.5105069999999999,426000.0
1996-01-22,2.555,2.59,2.52,2.545,0.508509,359000.0
1996-01-23,2.545,2.6,2.51,2.53,0.505512,399000.0
1996-01-24,2.53,2.53,2.45,2.465,0.49252399999999996,449000.0
1996-01-25,2.465,2.45,2.41,2.435,0.48653,390000.0
1996-01-29,2.435,2.495,2.395,2.485,0.49651999999999996,311000.0
1996-01-30,2.485,2.55,2.485,2.52,0.503514,452000.0
1996-01-31,2.52,2.635,2.55,2.59,0.5175,344000.0
1996-02-01,2.59,2.8,2.6,2.78,0.555463,424000.0
1996-02-02,2.78,2.995,2.8,2.915,0.582438,819000.0
1996-02-05,2.915,3.1,2.95,2.995,0.598422,906000.0
1996-02-06,2.995,3.05,2.95,2.975,0.594426,888000.0
1996-02-07,2.975,2.925,2.825,2.865,0.572447,586000.0
1996-02-08,2.865,3.15,2.885,3.045,0.608412,667000.0
1996-02-09,3.045,3.655,3.35,3.65,0.729296,1720000.0
1996-02-12,3.65,3.795,3.45,3.51,0.7013229999999999,2851000.0
1996-02-13,3.6,3.6,3.325,3.45,0.689334,1451000.0
1996-02-14,3.45,3.8,3.59,3.71,0.741284,2464000.0
1996-02-15,3.71,3.77,3.67,3.685,0.7362890000000001,1191000.0
1996-02-16,3.685,3.675,3.51,3.56,0.711313,1396000.0
1996-02-19,3.56,3.65,3.5,3.515,0.702322,1297000.0
1996-02-20,3.515,3.515,3.305,3.365,0.672351,1361000.0
1996-02-22,3.365,3.475,3.4,3.425,0.684339,848000.0
1996-02-23,3.425,3.5,3.4,3.42,0.68334,687000.0
1996-02-26,3.42,3.475,3.375,3.385,0.676347,647000.0
1996-02-27,3.39,3.425,3.3,3.395,0.678345,841000.0
1996-02-28,3.395,3.445,3.305,3.325,0.664358,422000.0
1996-02-29,3.3,3.3,3.0,3.065,0.612409,1275000.0
1996-03-01,3.065,3.15,3.0,3.11,0.6214,732000.0
1996-03-04,3.11,3.1,3.05,3.065,0.612409,647000.0
1996-03-06,3.065,3.15,3.08,3.1,0.619402,360000.0
1996-03-07,3.1,3.15,3.025,3.06,0.611409,486000.0
1996-03-08,3.06,3.07,3.0,3.05,0.6094109999999999,387000.0
1996-03-11,3.05,3.045,2.975,2.995,0.598422,324000.0
1996-03-12,2.995,2.995,2.93,2.955,0.59043,400000.0
1996-03-13,2.955,3.1,3.0,3.08,0.615406,486000.0
1996-03-14,3.08,3.15,3.045,3.07,0.613408,529000.0
1996-03-15,3.1,3.1,3.0,3.0,0.599421,807000.0
1996-03-18,3.0,3.025,2.93,2.985,0.596424,388000.0
1996-03-19,2.985,3.0,2.9,2.955,0.59043,617000.0
1996-03-21,2.955,3.015,2.95,3.005,0.60042,643000.0
1996-03-22,3.005,3.02,2.935,2.995,0.598422,194000.0
1996-03-25,2.995,3.05,2.98,3.025,0.604416,413000.0
1996-03-26,3.025,3.08,2.98,3.045,0.608412,643000.0
1996-03-27,3.045,3.11,3.03,3.1,0.619402,795000.0
1996-03-28,3.1,3.275,3.13,3.21,0.6413810000000001,1124000.0
1996-03-29,3.21,3.31,3.2,3.245,0.648374,1356000.0
1996-04-01,3.245,3.3,3.24,3.29,0.657365,963000.0
1996-04-02,3.29,3.45,3.28,3.4,0.679344,1835000.0
1996-04-03,3.4,3.6,3.4,3.49,0.697327,2082000.0
1996-04-04,3.49,3.455,3.35,3.405,0.680343,1134000.0
